---------CORE WORDS FOUND--------- 
Form(''I''), HasIPA(1), Usage(10294)
Form(''CIDE''), HasIPA(0), Usage(1)
Form(''ONS''), HasIPA(1), Usage(1)
Form(''WHINNIED''), HasIPA(0), Usage(1)
Form(''GRETS''), HasIPA(0), Usage(1)
Form(''SCIOUS''), HasIPA(0), Usage(1)
Form(''LIEVED''), HasIPA(0), Usage(1)
Form(''STRUCTOR''), HasIPA(0), Usage(1)
Form(''GLOOMILY''), HasIPA(1), Usage(1)
Form(''THEATERS''), HasIPA(1), Usage(1)
Form(''OUGHFARES''), HasIPA(0), Usage(1)
Form(''THOROUGHFARE''), HasIPA(1), Usage(1)
Form(''BLARE''), HasIPA(1), Usage(1)
Form(''MEDLEY''), HasIPA(1), Usage(1)
Form(''DEJECTED''), HasIPA(1), Usage(1)
Form(''PUFFS''), HasIPA(1), Usage(1)
Form(''MOYER''), HasIPA(1), Usage(1)
Form(''WINDBAG''), HasIPA(0), Usage(1)
Form(''TWEEN''), HasIPA(0), Usage(1)
Form(''COSMOPOLITAN''), HasIPA(1), Usage(1)
Form(''HELEN'S''), HasIPA(1), Usage(1)
Form(''UNTHINKING''), HasIPA(1), Usage(1)
Form(''SOPHISTICATED''), HasIPA(1), Usage(1)
Form(''ONESELF''), HasIPA(1), Usage(1)
Form(''SHUDDERS''), HasIPA(1), Usage(1)
Form(''MEANINGLESSNESS''), HasIPA(0), Usage(1)
Form(''STANT''), HasIPA(1), Usage(1)
Form(''TENCE''), HasIPA(0), Usage(1)
Form(''IRRITATING''), HasIPA(1), Usage(1)
Form(''NUTE''), HasIPA(1), Usage(1)
Form(''JOGGED''), HasIPA(1), Usage(1)
Form(''PLES''), HasIPA(0), Usage(1)
Form(''HEATING''), HasIPA(1), Usage(1)
Form(''ANIMALISM''), HasIPA(0), Usage(1)
Form(''ROILED''), HasIPA(1), Usage(1)
Form(''SECTS''), HasIPA(1), Usage(1)
Form(''VIBRATED''), HasIPA(0), Usage(1)
Form(''HEY''), HasIPA(1), Usage(1)
Form(''WESTBOUND''), HasIPA(1), Usage(1)
Form(''TERMINALS''), HasIPA(1), Usage(1)
Form(''GERTRUDE''), HasIPA(1), Usage(1)
Form(''WILMOT''), HasIPA(1), Usage(1)
Form(''WILLARDS''), HasIPA(0), Usage(1)
Form(''TATION''), HasIPA(0), Usage(1)
Form(''POCKETBOOK''), HasIPA(1), Usage(1)
Form(''GREENHORN''), HasIPA(0), Usage(1)
Form(''OUS''), HasIPA(0), Usage(1)
Form(''BUTCH''), HasIPA(1), Usage(1)
Form(''WHEELER''), HasIPA(1), Usage(1)
Form(''UGAMBI''), HasIPA(0), Usage(1)
Form(''ROWING''), HasIPA(1), Usage(1)
Form(''DAVITS''), HasIPA(0), Usage(1)
Form(''FALSETTO''), HasIPA(1), Usage(1)
Form(''WOT''), HasIPA(0), Usage(1)
Form('''ELL''), HasIPA(0), Usage(1)
Form(''EMACIATED''), HasIPA(1), Usage(1)
Form(''ROOSHUN''), HasIPA(0), Usage(1)
Form(''HAZARDED''), HasIPA(0), Usage(1)
Form(''SAVVY''), HasIPA(1), Usage(1)
Form(''RESCUERS''), HasIPA(1), Usage(1)
Form(''UNPRINCIPLED''), HasIPA(1), Usage(1)
Form(''METED''), HasIPA(1), Usage(1)
Form(''ROKOFF'S''), HasIPA(0), Usage(1)
Form(''BRUTALITY''), HasIPA(1), Usage(1)
Form(''MASK''), HasIPA(1), Usage(1)
Form(''SCRAGGLY''), HasIPA(1), Usage(1)
Form(''THIRTIES''), HasIPA(1), Usage(1)
Form(''SYNDICATE''), HasIPA(1), Usage(1)
Form(''PROSECUTING''), HasIPA(1), Usage(1)
Form(''MARKETABLE''), HasIPA(1), Usage(1)
Form(''INQUIRING''), HasIPA(1), Usage(1)
Form(''PLEASANTRY''), HasIPA(1), Usage(1)
Form(''BRIEFEST''), HasIPA(1), Usage(1)
Form(''METAMORPHOSED''), HasIPA(0), Usage(1)
Form(''FRENZIED''), HasIPA(1), Usage(1)
Form(''THREATS''), HasIPA(1), Usage(1)
Form(''FATED''), HasIPA(1), Usage(1)
Form(''OVERWHELM''), HasIPA(1), Usage(1)
Form(''EXTERMINATE''), HasIPA(1), Usage(1)
Form(''AFFLUENCE''), HasIPA(1), Usage(1)
Form(''CONQUEROR''), HasIPA(1), Usage(1)
Form(''WINDFALL''), HasIPA(1), Usage(1)
Form(''ALLEGATION''), HasIPA(1), Usage(1)
Form(''TACITLY''), HasIPA(1), Usage(1)
Form(''TENABLE''), HasIPA(1), Usage(1)
Form(''NOSING''), HasIPA(1), Usage(1)
Form(''LAPSED''), HasIPA(1), Usage(1)
Form(''DUBBED''), HasIPA(1), Usage(1)
Form(''IMPAIRED''), HasIPA(1), Usage(1)
Form(''ANTHROPOID'S''), HasIPA(0), Usage(1)
Form(''RELAPSED''), HasIPA(1), Usage(1)
Form(''HAROLD''), HasIPA(1), Usage(1)
Form(''BILIOUS''), HasIPA(1), Usage(1)
Form(''TUTORING''), HasIPA(1), Usage(1)
Form(''CONSCIENTIOUSLY''), HasIPA(1), Usage(1)
Form(''OBTUSENESS''), HasIPA(0), Usage(1)
Form(''ACCOMPLISHES''), HasIPA(1), Usage(1)
Form(''UNCIVILIZED''), HasIPA(1), Usage(1)
Form(''PORING''), HasIPA(1), Usage(1)
Form(''EXPLORER''), HasIPA(1), Usage(1)
Form(''HAGENBECK'S''), HasIPA(0), Usage(1)
Form(''CHIMPANZEE''), HasIPA(1), Usage(1)
Form(''SCANDALIZED''), HasIPA(1), Usage(1)
Form(''EXHIBITIONS''), HasIPA(1), Usage(1)
Form(''ZOO''), HasIPA(1), Usage(1)
Form(''ANYBODY'D''), HasIPA(0), Usage(1)
Form(''MOLLYCODDLE''), HasIPA(1), Usage(1)
Form(''WARNINGLY''), HasIPA(1), Usage(1)
Form(''RECITATIONS''), HasIPA(1), Usage(1)
Form(''CRAVINGS''), HasIPA(1), Usage(1)
Form(''OVERWHELMS''), HasIPA(1), Usage(1)
Form(''INHERITING''), HasIPA(1), Usage(1)
Form(''RESTRICTIVE''), HasIPA(1), Usage(1)
Form(''IMPLANTING''), HasIPA(1), Usage(1)
Form(''DISRESPECTFUL''), HasIPA(1), Usage(1)
Form(''CANDOR''), HasIPA(1), Usage(1)
Form(''DISOBEY''), HasIPA(1), Usage(1)
Form(''TUTOR'S''), HasIPA(0), Usage(1)
Form(''WAJA''), HasIPA(0), Usage(1)
Form(''WAJI''), HasIPA(0), Usage(1)
Form(''MOHAMMED''), HasIPA(1), Usage(1)
Form(''DUBN''), HasIPA(0), Usage(1)
Form(''TRUSSED''), HasIPA(0), Usage(1)
Form(''SUFFOCATE''), HasIPA(1), Usage(1)
Form(''PLIGHT''), HasIPA(1), Usage(1)
Form(''NUMBING''), HasIPA(1), Usage(1)
Form(''COMMENCING''), HasIPA(1), Usage(1)
Form(''HITS''), HasIPA(1), Usage(1)
Form(''EFFECTIVENESS''), HasIPA(1), Usage(1)
Form(''SNUGGLED''), HasIPA(0), Usage(1)
Form(''TIMELY''), HasIPA(1), Usage(1)
Form(''MAULING''), HasIPA(0), Usage(1)
Form(''BUTTS''), HasIPA(1), Usage(1)
Form(''SATISFYING''), HasIPA(1), Usage(1)
Form(''LASH''), HasIPA(1), Usage(1)
Form(''HIDEOUSLY''), HasIPA(1), Usage(1)
Form(''GAMUT''), HasIPA(1), Usage(1)
Form(''MUGAMBI''), HasIPA(0), Usage(1)
Form(''MYRRH''), HasIPA(1), Usage(1)
Form(''LIMOUSINE''), HasIPA(1), Usage(1)
Form(''CATACLYSMIC''), HasIPA(1), Usage(1)
Form(''EXPUNGE''), HasIPA(1), Usage(1)
Form(''BROACHED''), HasIPA(1), Usage(1)
Form(''ERADICATED''), HasIPA(1), Usage(1)
Form(''NICENESS''), HasIPA(1), Usage(1)
Form(''UNCOMBED''), HasIPA(0), Usage(1)
Form(''COVERLETS''), HasIPA(0), Usage(1)
Form(''QUILTS''), HasIPA(1), Usage(1)
Form(''GREYSTOKE'S''), HasIPA(0), Usage(1)
Form(''RECEIPT''), HasIPA(1), Usage(1)
Form(''REVENUE''), HasIPA(1), Usage(1)
Form(''MALIGN''), HasIPA(1), Usage(1)
Form(''AGGRAVATED''), HasIPA(1), Usage(1)
Form(''WARPING''), HasIPA(1), Usage(1)
Form(''INDISCRIMINATING''), HasIPA(0), Usage(1)
Form(''COMPETENCE''), HasIPA(1), Usage(1)
Form(''VIRTUOSO''), HasIPA(1), Usage(1)
Form(''NIKOLAS''), HasIPA(0), Usage(1)
Form(''UNANIMITY''), HasIPA(1), Usage(1)
Form(''UNAVAILINGLY''), HasIPA(0), Usage(1)
Form(''ACQUIESCE''), HasIPA(1), Usage(1)
Form(''SMUGGLE''), HasIPA(1), Usage(1)
Form(''UNDETECTED''), HasIPA(1), Usage(1)
Form(''CABBY''), HasIPA(1), Usage(1)
Form(''REBELLION''), HasIPA(1), Usage(1)
Form(''GASPINGLY''), HasIPA(0), Usage(1)
Form(''FOOTBOARD''), HasIPA(0), Usage(1)
Form(''GAPED''), HasIPA(0), Usage(1)
Form(''DEMONS''), HasIPA(1), Usage(1)
Form(''QUARTERED''), HasIPA(0), Usage(1)
Form(''SLUMS''), HasIPA(1), Usage(1)
Form(''STATEROOM''), HasIPA(0), Usage(1)
Form(''DISEMBARKED''), HasIPA(0), Usage(1)
Form(''BLACKLEG''), HasIPA(0), Usage(1)
Form(''BRITON''), HasIPA(1), Usage(1)
Form(''TRANSFERRING''), HasIPA(1), Usage(1)
Form(''SHACKS''), HasIPA(1), Usage(1)
Form(''UNSIGHTLY''), HasIPA(1), Usage(1)
Form(''HARMONIZING''), HasIPA(1), Usage(1)
Form(''ACCENTUATING''), HasIPA(1), Usage(1)
Form(''EMANUEL''), HasIPA(1), Usage(1)
Form(''FIGGERED''), HasIPA(0), Usage(1)
Form(''SHOREWARD''), HasIPA(1), Usage(1)
Form(''ATROCITY''), HasIPA(1), Usage(1)
Form(''MULTITUDINOUS''), HasIPA(0), Usage(1)
Form(''REUNION''), HasIPA(1), Usage(1)
Form(''MANIPULATION''), HasIPA(1), Usage(1)
Form(''STEALTHINESS''), HasIPA(0), Usage(1)
Form(''TRANSCENDED''), HasIPA(1), Usage(1)
Form(''CONDON'S''), HasIPA(0), Usage(1)
Form(''INCLUSIVE''), HasIPA(1), Usage(1)
Form(''FAULTILY''), HasIPA(0), Usage(1)
Form(''THIRSTING''), HasIPA(0), Usage(1)
Form(''GLEANED''), HasIPA(1), Usage(1)
Form(''HOUSEMAN''), HasIPA(1), Usage(1)
Form(''PORTLY''), HasIPA(1), Usage(1)
Form(''PRECIPITATELY''), HasIPA(0), Usage(1)
Form(''SHERLOCK''), HasIPA(1), Usage(1)
Form(''HOLMES''), HasIPA(1), Usage(1)
Form(''HOSTELRY''), HasIPA(0), Usage(1)
Form(''INSPECT''), HasIPA(1), Usage(1)
Form(''FOOTSTEP''), HasIPA(1), Usage(1)
Form(''OUTSPREAD''), HasIPA(0), Usage(1)
Form(''TRAMMELS''), HasIPA(0), Usage(1)
Form(''THEFTS''), HasIPA(1), Usage(1)
Form(''GUILLOTINE''), HasIPA(1), Usage(1)
Form(''EXPIATED''), HasIPA(0), Usage(1)
Form(''JACKETED''), HasIPA(1), Usage(1)
Form(''LEGIONARIES''), HasIPA(1), Usage(1)
Form(''GARRISON''), HasIPA(1), Usage(1)
Form(''JEANNE'S''), HasIPA(0), Usage(1)
Form(''SUMMONING''), HasIPA(1), Usage(1)
Form(''SOBRIQUET''), HasIPA(1), Usage(1)
Form(''TERSE''), HasIPA(1), Usage(1)
Form(''GULLIBLE''), HasIPA(1), Usage(1)
Form(''ACCOMPLICES''), HasIPA(1), Usage(1)
Form(''STOICISM''), HasIPA(1), Usage(1)
Form(''TRACKLESS''), HasIPA(0), Usage(1)
Form(''RAPED''), HasIPA(1), Usage(1)
Form(''EMPTIES''), HasIPA(1), Usage(1)
Form(''PALISADED''), HasIPA(0), Usage(1)
Form(''RAIDING''), HasIPA(1), Usage(1)
Form(''SEWN''), HasIPA(1), Usage(1)
Form(''INFLICT''), HasIPA(1), Usage(1)
Form(''TIRADES''), HasIPA(1), Usage(1)
Form(''CRUELLY''), HasIPA(1), Usage(1)
Form(''DECKING''), HasIPA(1), Usage(1)
Form(''YEARNS''), HasIPA(1), Usage(1)
Form(''INDULGENCE''), HasIPA(1), Usage(1)
Form(''MANED''), HasIPA(1), Usage(1)
Form(''REMONSTRANCE''), HasIPA(0), Usage(1)
Form(''TROOPING''), HasIPA(1), Usage(1)
Form(''DIVERSION''), HasIPA(1), Usage(1)
Form(''APPRAISED''), HasIPA(1), Usage(1)
Form(''GREWSOMELY''), HasIPA(0), Usage(1)
Form(''LOITERED''), HasIPA(0), Usage(1)
Form(''TRAITOROUS''), HasIPA(1), Usage(1)
Form(''BORDERLAND''), HasIPA(0), Usage(1)
Form(''PAJAMAS''), HasIPA(1), Usage(1)
Form(''APPROXIMATED''), HasIPA(1), Usage(1)
Form(''DISPELLER''), HasIPA(0), Usage(1)
Form(''GAGGED''), HasIPA(1), Usage(1)
Form(''CAVIL''), HasIPA(0), Usage(1)
Form(''INHERITS''), HasIPA(1), Usage(1)
Form(''KEYED''), HasIPA(1), Usage(1)
Form(''FLATTENING''), HasIPA(1), Usage(1)
Form(''TREMORS''), HasIPA(1), Usage(1)
Form(''MERGING''), HasIPA(1), Usage(1)
Form(''FOREPAW''), HasIPA(0), Usage(1)
Form(''TALON''), HasIPA(1), Usage(1)
Form(''PATTERNING''), HasIPA(0), Usage(1)
Form(''PRECEPTOR''), HasIPA(0), Usage(1)
Form(''TAUNTED''), HasIPA(1), Usage(1)
Form(''USELESSNESS''), HasIPA(0), Usage(1)
Form(''TREELESS''), HasIPA(1), Usage(1)
Form(''OUTPOST''), HasIPA(1), Usage(1)
Form(''SAVORED''), HasIPA(1), Usage(1)
Form(''ADAPTING''), HasIPA(1), Usage(1)
Form(''TOUGHENING''), HasIPA(1), Usage(1)
Form(''UNBIDDEN''), HasIPA(0), Usage(1)
Form(''DISABUSE''), HasIPA(1), Usage(1)
Form(''MOLD''), HasIPA(1), Usage(1)
Form(''WITHER''), HasIPA(1), Usage(1)
Form(''SINEWY''), HasIPA(1), Usage(1)
Form(''PERMANENCY''), HasIPA(0), Usage(1)
Form(''COURSED''), HasIPA(0), Usage(1)
Form(''PRYING''), HasIPA(1), Usage(1)
Form(''RELAXATION''), HasIPA(1), Usage(1)
Form(''TYPIFY''), HasIPA(1), Usage(1)
Form(''RECOUNTED''), HasIPA(1), Usage(1)
Form(''DIFFERENTIATE''), HasIPA(1), Usage(1)
Form(''HERBIVORA''), HasIPA(0), Usage(1)
Form(''WAXING''), HasIPA(1), Usage(1)
Form(''WANING''), HasIPA(1), Usage(1)
Form(''ESCAPADE''), HasIPA(1), Usage(1)
Form(''CLOYING''), HasIPA(1), Usage(1)
Form(''REHEARSED''), HasIPA(1), Usage(1)
Form(''TOGS''), HasIPA(1), Usage(1)
Form(''PHLEGMATIC''), HasIPA(0), Usage(1)
Form(''REVELLING''), HasIPA(0), Usage(1)
Form(''IMPROVISED''), HasIPA(1), Usage(1)
Form(''CRUCIAL''), HasIPA(1), Usage(1)
Form(''INFLICTING''), HasIPA(1), Usage(1)
Form(''DISSUADE''), HasIPA(1), Usage(1)
Form(''FAITHFULNESS''), HasIPA(0), Usage(1)
Form(''FONDLY''), HasIPA(1), Usage(1)
Form(''WHIPS''), HasIPA(1), Usage(1)
Form(''OVERTAXED''), HasIPA(1), Usage(1)
Form(''APPREHENSIVE''), HasIPA(1), Usage(1)
Form(''FIENDS''), HasIPA(1), Usage(1)
Form(''UNHIT''), HasIPA(0), Usage(1)
Form(''JANGLING''), HasIPA(0), Usage(1)
Form(''UNREASONING''), HasIPA(1), Usage(1)
Form(''ENTOURAGE''), HasIPA(1), Usage(1)
Form(''FUNK''), HasIPA(1), Usage(1)
Form(''AVERRED''), HasIPA(0), Usage(1)
Form(''ENEMY'S''), HasIPA(1), Usage(1)
Form(''DISHEARTENED''), HasIPA(1), Usage(1)
Form(''DEPRESSING''), HasIPA(1), Usage(1)
Form(''MONOSYLLABIC''), HasIPA(0), Usage(1)
Form(''PALMIEST''), HasIPA(0), Usage(1)
Form(''SORROWS''), HasIPA(1), Usage(1)
Form(''NEBULOUS''), HasIPA(1), Usage(1)
Form(''SHEIKS''), HasIPA(1), Usage(1)
Form(''MABUNUS''), HasIPA(0), Usage(1)
Form(''UNBLINKING''), HasIPA(0), Usage(1)
Form(''UNWAVERING''), HasIPA(1), Usage(1)
Form(''VERGED''), HasIPA(0), Usage(1)
Form(''PELT''), HasIPA(1), Usage(1)
Form(''MODESTY''), HasIPA(1), Usage(1)
Form(''REVERTED''), HasIPA(1), Usage(1)
Form(''ORNAMENTATION''), HasIPA(1), Usage(1)
Form(''QUALMS''), HasIPA(1), Usage(1)
Form(''INCULCATE''), HasIPA(1), Usage(1)
Form(''AXIOM''), HasIPA(1), Usage(1)
Form(''FINERY''), HasIPA(1), Usage(1)
Form(''DAPPLING''), HasIPA(0), Usage(1)
Form(''AWKWARDNESS''), HasIPA(1), Usage(1)
Form(''FLOWN''), HasIPA(1), Usage(1)
Form(''BALKING''), HasIPA(1), Usage(1)
Form(''WRESTLING''), HasIPA(1), Usage(1)
Form(''FOIL''), HasIPA(1), Usage(1)
Form(''BOXING''), HasIPA(1), Usage(1)
Form(''JOLT''), HasIPA(1), Usage(1)
Form(''SULK''), HasIPA(1), Usage(1)
Form(''PARLEY''), HasIPA(1), Usage(1)
Form(''FOLIAGED''), HasIPA(0), Usage(1)
Form(''PERIPHERY''), HasIPA(1), Usage(1)
Form(''IMPARTING''), HasIPA(1), Usage(1)
Form(''GRINNINGS''), HasIPA(0), Usage(1)
Form(''BEETLING''), HasIPA(0), Usage(1)
Form(''PING''), HasIPA(1), Usage(1)
Form(''INTERESTEDLY''), HasIPA(0), Usage(1)
Form(''OUTSIDER''), HasIPA(1), Usage(1)
Form(''PIVOTED''), HasIPA(1), Usage(1)
Form(''SIDESTEPPING''), HasIPA(1), Usage(1)
Form(''COUNSELED''), HasIPA(1), Usage(1)
Form(''WARRANTS''), HasIPA(1), Usage(1)
Form(''FLEETER''), HasIPA(0), Usage(1)
Form(''SWIFTER''), HasIPA(1), Usage(1)
Form(''OUTDISTANCED''), HasIPA(0), Usage(1)
Form(''SMOLDERED''), HasIPA(0), Usage(1)
Form(''IMITATIVE''), HasIPA(1), Usage(1)
Form(''MANNERISMS''), HasIPA(1), Usage(1)
Form(''PREDATORY''), HasIPA(1), Usage(1)
Form(''CROUCH''), HasIPA(1), Usage(1)
Form(''CAT'S''), HasIPA(1), Usage(1)
Form(''EXIGENCIES''), HasIPA(1), Usage(1)
Form(''IMMOVABLE''), HasIPA(1), Usage(1)
Form(''BETIDE''), HasIPA(1), Usage(1)
Form(''OVERSPREAD''), HasIPA(0), Usage(1)
Form(''LULLABY''), HasIPA(1), Usage(1)
Form(''PIQUANT''), HasIPA(1), Usage(1)
Form(''RELAX''), HasIPA(1), Usage(1)
Form(''VENGEFUL''), HasIPA(1), Usage(1)
Form(''OWNER'S''), HasIPA(1), Usage(1)
Form(''SENTIENT''), HasIPA(0), Usage(1)
Form(''MOTLEY''), HasIPA(1), Usage(1)
Form(''OVERBURDENED''), HasIPA(1), Usage(1)
Form(''PENDULOUS''), HasIPA(1), Usage(1)
Form(''STOIC''), HasIPA(1), Usage(1)
Form(''BRUTALITIES''), HasIPA(1), Usage(1)
Form(''CHILDISHNESS''), HasIPA(0), Usage(1)
Form(''PARALYZING''), HasIPA(1), Usage(1)
Form(''RECUMBENT''), HasIPA(0), Usage(1)
Form(''REGAINS''), HasIPA(1), Usage(1)
Form(''ADORNING''), HasIPA(0), Usage(1)
Form(''JEWELRY''), HasIPA(1), Usage(1)
Form(''MOLLYCODDLES''), HasIPA(0), Usage(1)
Form(''PALPITATED''), HasIPA(0), Usage(1)
Form(''TRIBAL''), HasIPA(1), Usage(1)
Form(''FUZZY''), HasIPA(1), Usage(1)
Form(''HOPELESSLY''), HasIPA(1), Usage(1)
Form(''CUTEST''), HasIPA(1), Usage(1)
Form(''UNMITIGATED''), HasIPA(1), Usage(1)
Form(''PRESERVER''), HasIPA(1), Usage(1)
Form(''CONTORTED''), HasIPA(1), Usage(1)
Form(''OUTLASTED''), HasIPA(1), Usage(1)
Form(''REVULSION''), HasIPA(1), Usage(1)
Form(''BRUTISHNESS''), HasIPA(0), Usage(1)
Form(''SHORTENING''), HasIPA(1), Usage(1)
Form(''EXPLOSIVE''), HasIPA(1), Usage(1)
Form(''SWISH''), HasIPA(1), Usage(1)
Form(''SNARLINGS''), HasIPA(0), Usage(1)
Form(''KNIFING''), HasIPA(1), Usage(1)
Form(''JEOPARDIZE''), HasIPA(1), Usage(1)
Form(''LICKING''), HasIPA(1), Usage(1)
Form(''EYELESS''), HasIPA(1), Usage(1)
Form(''RUDIMENTS''), HasIPA(1), Usage(1)
Form(''DOMICILE''), HasIPA(0), Usage(1)
Form(''LOCALIZED''), HasIPA(1), Usage(1)
Form(''CORRESPONDINGLY''), HasIPA(1), Usage(1)
Form(''ENJOYABLE''), HasIPA(1), Usage(1)
Form(''UNVERSED''), HasIPA(0), Usage(1)
Form(''FULNESS''), HasIPA(0), Usage(1)
Form(''HORTA''), HasIPA(1), Usage(1)
Form(''WARNINGS''), HasIPA(1), Usage(1)
Form(''LUSCIOUS''), HasIPA(1), Usage(1)
Form(''FEASTS''), HasIPA(1), Usage(1)
Form(''PLAYFELLOW''), HasIPA(0), Usage(1)
Form(''GEEKA'S''), HasIPA(0), Usage(1)
Form(''PARAKEET''), HasIPA(1), Usage(1)
Form(''IMITATIONS''), HasIPA(1), Usage(1)
Form(''DOESKIN''), HasIPA(0), Usage(1)
Form(''DIVESTS''), HasIPA(1), Usage(1)
Form(''TINIEST''), HasIPA(1), Usage(1)
Form(''FOREARM''), HasIPA(1), Usage(1)
Form(''CAPTORS'''), HasIPA(0), Usage(1)
Form(''DETAINING''), HasIPA(1), Usage(1)
Form(''SQUAWKING''), HasIPA(1), Usage(1)
Form(''AMISS''), HasIPA(1), Usage(1)
Form(''TREE'S''), HasIPA(0), Usage(1)
Form(''HADE''), HasIPA(1), Usage(1)
Form(''BEASTS'''), HasIPA(0), Usage(1)
Form(''PLUMMET''), HasIPA(1), Usage(1)
Form(''PERPETRATOR''), HasIPA(1), Usage(1)
Form(''BLOODLUST''), HasIPA(0), Usage(1)
Form(''GUSH''), HasIPA(1), Usage(1)
Form(''BATTLING''), HasIPA(1), Usage(1)
Form(''GUSHING''), HasIPA(1), Usage(1)
Form(''ABYSMAL''), HasIPA(1), Usage(1)
Form(''SPEARED''), HasIPA(0), Usage(1)
Form(''TRUCULENT''), HasIPA(1), Usage(1)
Form(''UPCURVED''), HasIPA(0), Usage(1)
Form(''TIMBRE''), HasIPA(1), Usage(1)
Form(''PERCEPTIVE''), HasIPA(1), Usage(1)
Form(''INGRAINED''), HasIPA(1), Usage(1)
Form(''UNTIRED''), HasIPA(0), Usage(1)
Form(''RECOUNT''), HasIPA(1), Usage(1)
Form(''CURDLING''), HasIPA(0), Usage(1)
Form(''LABYRINTHINE''), HasIPA(1), Usage(1)
Form(''FLEETEST''), HasIPA(0), Usage(1)
Form(''AWESTRUCK''), HasIPA(1), Usage(1)
Form(''BEDLAM''), HasIPA(1), Usage(1)
Form(''MAULED''), HasIPA(1), Usage(1)
Form(''INTERLOPER''), HasIPA(1), Usage(1)
Form(''UNQUESTIONED''), HasIPA(1), Usage(1)
Form(''SLAKE''), HasIPA(0), Usage(1)
Form(''ENMITY''), HasIPA(1), Usage(1)
Form(''RAIDED''), HasIPA(1), Usage(1)
Form(''EMANATING''), HasIPA(1), Usage(1)
Form(''ALLUREMENTS''), HasIPA(0), Usage(1)
Form(''DOGLIKE''), HasIPA(1), Usage(1)
Form(''HERETOFORE''), HasIPA(1), Usage(1)
Form(''INTERLACED''), HasIPA(1), Usage(1)
Form(''DEMOLISH''), HasIPA(1), Usage(1)
Form(''TRAPPERS''), HasIPA(1), Usage(1)
Form(''TARRY''), HasIPA(1), Usage(1)
Form(''COLORATION''), HasIPA(1), Usage(1)
Form(''INTENTNESS''), HasIPA(0), Usage(1)
Form(''DENIZEN''), HasIPA(1), Usage(1)
Form(''REVENGED''), HasIPA(0), Usage(1)
Form(''JOYED''), HasIPA(0), Usage(1)
Form(''HIGHFLUNG''), HasIPA(0), Usage(1)
Form(''ROVED''), HasIPA(0), Usage(1)
Form(''ERRATICALLY''), HasIPA(1), Usage(1)
Form(''STENCHES''), HasIPA(0), Usage(1)
Form(''AROMA''), HasIPA(1), Usage(1)
Form(''PORTAL''), HasIPA(1), Usage(1)
Form(''EBONY''), HasIPA(1), Usage(1)
Form(''THATCHING''), HasIPA(0), Usage(1)
Form(''WATCHER''), HasIPA(1), Usage(1)
Form(''YAWN''), HasIPA(1), Usage(1)
Form(''THROTTLED''), HasIPA(1), Usage(1)
Form(''WINDPIPE''), HasIPA(0), Usage(1)
Form(''SUDDENNESS''), HasIPA(1), Usage(1)
Form(''DISSOLUTION''), HasIPA(1), Usage(1)
Form(''GRISLY''), HasIPA(1), Usage(1)
Form(''YELPS''), HasIPA(0), Usage(1)
Form(''UNERRINGLY''), HasIPA(0), Usage(1)
Form(''ANNOUNCEMENTS''), HasIPA(1), Usage(1)
Form(''INDIGNITIES''), HasIPA(1), Usage(1)
Form(''EGRESS''), HasIPA(1), Usage(1)
Form(''HANDICAPPED''), HasIPA(1), Usage(1)
Form(''TRIPPING''), HasIPA(1), Usage(1)
Form(''WEIGHTED''), HasIPA(1), Usage(1)
Form(''ANTAGONISTS''), HasIPA(1), Usage(1)
Form(''WRESTED''), HasIPA(1), Usage(1)
Form(''TEMERITY''), HasIPA(1), Usage(1)
Form(''COMBATS''), HasIPA(1), Usage(1)
Form(''REPEL''), HasIPA(1), Usage(1)
Form(''WARINESS''), HasIPA(1), Usage(1)
Form(''GLORIED''), HasIPA(0), Usage(1)
Form(''THOUGHTFULNESS''), HasIPA(1), Usage(1)
Form(''GENTLER''), HasIPA(1), Usage(1)
Form(''TOKENS''), HasIPA(1), Usage(1)
Form(''TRESPASSED''), HasIPA(0), Usage(1)
Form(''INALIENABLE''), HasIPA(1), Usage(1)
Form(''DROUTH''), HasIPA(0), Usage(1)
Form(''SLAKED''), HasIPA(0), Usage(1)
Form(''MINISTERING''), HasIPA(1), Usage(1)
Form(''FURRY''), HasIPA(1), Usage(1)
Form(''PELTS''), HasIPA(1), Usage(1)
Form(''DOWNIEST''), HasIPA(0), Usage(1)
Form(''TALKATIVENESS''), HasIPA(0), Usage(1)
Form(''RETAILING''), HasIPA(1), Usage(1)
Form(''OVERT''), HasIPA(1), Usage(1)
Form(''EPISODE''), HasIPA(1), Usage(1)
Form(''DINT''), HasIPA(1), Usage(1)
Form(''MANEUVERING''), HasIPA(1), Usage(1)
Form(''EXPENDITURE''), HasIPA(1), Usage(1)
Form(''REPULSE''), HasIPA(1), Usage(1)
Form(''REPELLED''), HasIPA(1), Usage(1)
Form(''DISQUIETING''), HasIPA(1), Usage(1)
Form(''IMBECILE''), HasIPA(1), Usage(1)
Form(''SUZERAINTY''), HasIPA(0), Usage(1)
Form(''ANTAGONIZED''), HasIPA(1), Usage(1)
Form(''PLENIPOTENTIARIES''), HasIPA(0), Usage(1)
Form(''RETAILED''), HasIPA(1), Usage(1)
Form(''APPRAISINGLY''), HasIPA(0), Usage(1)
Form(''BURDENING''), HasIPA(1), Usage(1)
Form(''DISINTERESTEDNESS''), HasIPA(0), Usage(1)
Form(''CONSUMMATED''), HasIPA(1), Usage(1)
Form(''MALTREAT''), HasIPA(0), Usage(1)
