---------CORE WORDS--------- 
Form(''I''), HasIPA(1), Usage(10294 )
Form(''CARDINAL''), HasIPA(1), Usage(2 )
Form(''SUPERSEDED''), HasIPA(1), Usage(2 )
Form(''ABOLISH''), HasIPA(1), Usage(3 )
Form(''PREDECESSORS''), HasIPA(1), Usage(3 )
Form(''ARRIVALS''), HasIPA(1), Usage(3 )
Form(''TERMINATIONS''), HasIPA(1), Usage(3 )
Form('''IDEAS'''), HasIPA(0), Usage(4 )
Form(''VASTLY''), HasIPA(1), Usage(2 )
Form(''INATTENTIVE''), HasIPA(1), Usage(2 )
Form(''DISCRETE''), HasIPA(1), Usage(4 )
Form(''SUBSTITUTIONAL''), HasIPA(0), Usage(4 )
Form(''RADICALLY''), HasIPA(1), Usage(2 )
Form(''POSTULATES''), HasIPA(1), Usage(2 )
Form(''VERIFIED''), HasIPA(1), Usage(3 )
Form(''TRANSIT''), HasIPA(1), Usage(2 )
Form(''VIRTUAL''), HasIPA(1), Usage(3 )
Form(''CERTIFIED''), HasIPA(1), Usage(2 )
Form(''VIRTUALITY''), HasIPA(0), Usage(2 )
Form(''IMPERCEPTIBLES''), HasIPA(0), Usage(2 )
Form(''NEIGHBORS'''), HasIPA(1), Usage(2 )
Form(''PERCEPTUALLY''), HasIPA(0), Usage(4 )
Form(''CONTRADICTING''), HasIPA(1), Usage(2 )
Form(''DETERMINATE''), HasIPA(1), Usage(3 )
Form(''CONJOINED''), HasIPA(1), Usage(4 )
Form(''TRUSTWORTHY''), HasIPA(1), Usage(2 )
Form(''DISINTEGRATES''), HasIPA(1), Usage(2 )
Form(''PROVISIONALLY''), HasIPA(1), Usage(4 )
Form(''SUPERSEDES''), HasIPA(1), Usage(2 )
Form(''CONFESSING''), HasIPA(1), Usage(2 )
Form(''TRANSCENDENT''), HasIPA(1), Usage(3 )
Form('''TRUE'''), HasIPA(0), Usage(3 )
Form(''MEDIATION''), HasIPA(1), Usage(2 )
Form(''POSTULATED''), HasIPA(0), Usage(2 )
Form(''LOGOMACHY''), HasIPA(0), Usage(2 )
Form(''EJECTIVE''), HasIPA(0), Usage(2 )
Form(''HUMANISTIC''), HasIPA(1), Usage(4 )
Form(''INCOMPLETE''), HasIPA(1), Usage(3 )
Form(''TRANSITU''), HasIPA(0), Usage(2 )
Form(''UNDIFFERENTIATED''), HasIPA(1), Usage(2 )
Form('''THERE'''), HasIPA(0), Usage(4 )
Form(''RETROSPECTIVELY''), HasIPA(1), Usage(3 )
Form(''REDUCE''), HasIPA(1), Usage(4 )
Form(''LIABLE''), HasIPA(1), Usage(4 )
Form(''CONTERMINOUSNESS''), HasIPA(0), Usage(2 )
Form(''IMMANENT''), HasIPA(1), Usage(3 )
Form(''CONGERIES''), HasIPA(0), Usage(3 )
Form(''DEEM''), HasIPA(1), Usage(3 )
Form(''ACTUATED''), HasIPA(0), Usage(2 )
Form('''YOUR''), HasIPA(0), Usage(2 )
Form(''ACTUATE''), HasIPA(1), Usage(2 )
Form(''DUPLICATE''), HasIPA(1), Usage(4 )
Form(''CONTERMINOUS''), HasIPA(0), Usage(4 )
Form(''ALTERING''), HasIPA(1), Usage(3 )
Form(''COALESCE''), HasIPA(1), Usage(2 )
Form(''LOCATION''), HasIPA(1), Usage(3 )
Form(''ABOLISHING''), HasIPA(1), Usage(2 )
Form(''CONTINUATIONS''), HasIPA(0), Usage(3 )
Form(''CONCEIVABLY''), HasIPA(1), Usage(3 )
Form(''SHARING''), HasIPA(1), Usage(2 )
Form(''INSERTING''), HasIPA(1), Usage(2 )
Form(''COALESCING''), HasIPA(1), Usage(2 )
Form(''PROVISIONAL''), HasIPA(1), Usage(4 )
Form(''LITERAL''), HasIPA(1), Usage(4 )
Form('''CO''), HasIPA(0), Usage(2 )
Form(''THEORETIC''), HasIPA(0), Usage(3 )
Form(''STRICTNESS''), HasIPA(0), Usage(2 )
Form(''PREDICATE''), HasIPA(1), Usage(2 )
Form(''INDISCERNIBLE''), HasIPA(0), Usage(2 )
Form(''DISCOVERABLE''), HasIPA(1), Usage(2 )
Form(''PROVOKE''), HasIPA(1), Usage(2 )
Form(''PHILOSOPHIES''), HasIPA(1), Usage(2 )
Form(''POSSE''), HasIPA(1), Usage(3 )
Form(''DRAFTS''), HasIPA(1), Usage(3 )
Form(''REBUKED''), HasIPA(1), Usage(2 )
Form(''TRANSLATE''), HasIPA(1), Usage(4 )
Form(''MOLECULES''), HasIPA(1), Usage(2 )
Form(''SYMBOLS''), HasIPA(1), Usage(2 )
Form(''PLURALISM''), HasIPA(1), Usage(3 )
Form(''INTERACTION''), HasIPA(1), Usage(3 )
Form(''INDETERMINISM''), HasIPA(0), Usage(3 )
Form(''THEISM''), HasIPA(1), Usage(2 )
Form('''HUMANISM'''), HasIPA(0), Usage(2 )
Form('''HUMANISM''), HasIPA(0), Usage(3 )
Form(''CONTRIBUTIONS''), HasIPA(1), Usage(2 )
Form(''FEEBLER''), HasIPA(0), Usage(2 )
Form(''PARADOXES''), HasIPA(1), Usage(2 )
Form(''UNCERTAINTIES''), HasIPA(1), Usage(3 )
Form(''CONTRADICTIONS''), HasIPA(1), Usage(3 )
Form(''IRRATIONALITY''), HasIPA(1), Usage(3 )
Form(''ELABORATION''), HasIPA(1), Usage(2 )
Form(''CORRECTIONS''), HasIPA(1), Usage(3 )
Form(''FURNISHES''), HasIPA(1), Usage(3 )
Form(''ILLNESSES''), HasIPA(1), Usage(2 )
Form(''THO'''), HasIPA(0), Usage(2 )
Form(''WHATS''), HasIPA(1), Usage(4 )
Form(''ONENESS''), HasIPA(1), Usage(4 )
Form(''EMPHASES''), HasIPA(1), Usage(2 )
Form(''ABSTRACTED''), HasIPA(1), Usage(4 )
Form(''NOUNS''), HasIPA(0), Usage(4 )
Form(''PREPOSITIONS''), HasIPA(0), Usage(2 )
Form(''EMBODIES''), HasIPA(1), Usage(4 )
Form(''INTERFERING''), HasIPA(1), Usage(2 )
Form(''ENVELOP''), HasIPA(1), Usage(2 )
Form(''HARMONIOUSLY''), HasIPA(1), Usage(3 )
Form('''THEN''), HasIPA(0), Usage(2 )
Form('''ON''), HasIPA(0), Usage(3 )
Form('''BETWEEN''), HasIPA(0), Usage(2 )
Form('''NEXT''), HasIPA(0), Usage(2 )
Form('''AS''), HasIPA(0), Usage(3 )
Form(''INTELLECTUALIZED''), HasIPA(0), Usage(2 )
Form(''NATURALISM''), HasIPA(1), Usage(4 )
Form(''RATIONALISTIC''), HasIPA(0), Usage(2 )
Form(''IMPERATIVE''), HasIPA(1), Usage(2 )
Form(''SUSTAINS''), HasIPA(1), Usage(2 )
Form(''EXTINGUISH''), HasIPA(1), Usage(2 )
Form(''REACT''), HasIPA(1), Usage(2 )
Form(''REDESCENDING''), HasIPA(0), Usage(2 )
Form(''PURER''), HasIPA(1), Usage(4 )
Form(''UNRUN''), HasIPA(0), Usage(3 )
Form('''CHIEFLY''), HasIPA(0), Usage(2 )
Form(''ABSTRACTS''), HasIPA(1), Usage(3 )
Form(''UNDISTINGUISHED''), HasIPA(1), Usage(3 )
Form('''IT''), HasIPA(0), Usage(4 )
Form(''CONTRADICT''), HasIPA(1), Usage(3 )
Form(''PRAGMATISM''), HasIPA(1), Usage(2 )
Form(''UNITING''), HasIPA(1), Usage(2 )
Form(''WAVELET''), HasIPA(0), Usage(2 )
Form(''CONFLUENCE''), HasIPA(1), Usage(4 )
Form(''MACLENNAN'S''), HasIPA(0), Usage(2 )
Form(''AUSEINANDERSETZUNG''), HasIPA(0), Usage(2 )
Form(''DIALECTICAL''), HasIPA(1), Usage(2 )
Form(''ABSOLUTISTS''), HasIPA(0), Usage(2 )
Form(''M'S''), HasIPA(1), Usage(2 )
Form(''EDITIONS''), HasIPA(1), Usage(2 )
Form(''IRRETRIEVABLY''), HasIPA(1), Usage(4 )
Form(''UNBRIDGED''), HasIPA(0), Usage(3 )
Form(''NOUN''), HasIPA(1), Usage(4 )
Form('''THAT''), HasIPA(0), Usage(3 )
Form(''EXISTENCES''), HasIPA(0), Usage(2 )
Form('''M'S''), HasIPA(0), Usage(2 )
Form(''SELBY''), HasIPA(1), Usage(2 )
Form(''BIGGE'S''), HasIPA(0), Usage(2 )
Form(''DOUBLENESS''), HasIPA(0), Usage(3 )
Form(''CANDIDLY''), HasIPA(1), Usage(2 )
Form(''BELIES''), HasIPA(1), Usage(2 )
Form(''DUALITY''), HasIPA(1), Usage(2 )
Form(''PREDICABLE''), HasIPA(0), Usage(3 )
Form(''HARK''), HasIPA(1), Usage(4 )
Form(''OPPONENTS''), HasIPA(1), Usage(3 )
Form(''HERBART''), HasIPA(0), Usage(2 )
Form(''SPIR''), HasIPA(0), Usage(2 )
Form(''DENKEN''), HasIPA(0), Usage(2 )
Form(''BK''), HasIPA(0), Usage(2 )
Form(''ELABORATELY''), HasIPA(1), Usage(2 )
Form(''CONCATENATED''), HasIPA(0), Usage(2 )
Form('''THROUGH''), HasIPA(0), Usage(2 )
Form(''THROUGH'''), HasIPA(0), Usage(2 )
Form(''NEARNESS''), HasIPA(0), Usage(4 )
Form(''DISJOINTED''), HasIPA(1), Usage(2 )
Form(''BEWARE''), HasIPA(1), Usage(4 )
Form(''PHENOMENAL''), HasIPA(1), Usage(4 )
Form(''FALSELY''), HasIPA(1), Usage(3 )
Form(''EMPIRICALLY''), HasIPA(1), Usage(2 )
Form(''UNTHINKABLE''), HasIPA(1), Usage(2 )
Form(''INJUSTICE''), HasIPA(1), Usage(4 )
Form(''COSMOS''), HasIPA(1), Usage(4 )
Form(''JUDGEMENT''), HasIPA(1), Usage(2 )
Form(''SCHILLER''), HasIPA(1), Usage(3 )
Form(''HODDER'S''), HasIPA(0), Usage(2 )
Form(''STOUT'S''), HasIPA(0), Usage(3 )
Form(''ADVENTITIOUS''), HasIPA(0), Usage(2 )
Form('''ON'''), HasIPA(0), Usage(4 )
Form(''PLAUSIBLY''), HasIPA(1), Usage(2 )
Form(''COLLATERAL''), HasIPA(1), Usage(2 )
Form(''TAYLOR''), HasIPA(1), Usage(2 )
Form(''CONTRA''), HasIPA(1), Usage(2 )
Form(''UNANSWERED''), HasIPA(1), Usage(4 )
Form('''IRRATIONAL'''), HasIPA(0), Usage(2 )
Form(''SINGLY''), HasIPA(1), Usage(2 )
Form(''PROLIFIC''), HasIPA(1), Usage(2 )
Form('''FAR'''), HasIPA(0), Usage(2 )
Form('''SO''), HasIPA(0), Usage(3 )
Form(''IGNORATIO''), HasIPA(0), Usage(2 )
Form(''MONISM''), HasIPA(1), Usage(2 )
Form(''BRADLEYAN''), HasIPA(0), Usage(2 )
Form(''CONFESSES''), HasIPA(1), Usage(2 )
Form(''PERCEIVING''), HasIPA(1), Usage(4 )
Form('''BOOK''), HasIPA(0), Usage(3 )
Form(''ESSE''), HasIPA(1), Usage(4 )
Form(''TOGETHERNESS''), HasIPA(1), Usage(3 )
Form(''PROPRIUS''), HasIPA(0), Usage(4 )
Form(''MOTUS''), HasIPA(0), Usage(2 )
Form(''DEFINES''), HasIPA(1), Usage(3 )
Form(''NAIVELY''), HasIPA(1), Usage(3 )
Form('''LUMP''), HasIPA(0), Usage(2 )
Form(''KINESTHETIC''), HasIPA(1), Usage(2 )
Form('''MY''), HasIPA(0), Usage(2 )
Form(''LOVELIEST''), HasIPA(0), Usage(3 )
Form(''ROYCE''), HasIPA(1), Usage(4 )
Form(''PROFUNDITY''), HasIPA(0), Usage(3 )
Form('''HOW'''), HasIPA(0), Usage(2 )
Form(''INEFFABLE''), HasIPA(1), Usage(2 )
Form(''OMISSION''), HasIPA(1), Usage(2 )
Form(''CHAMPION''), HasIPA(1), Usage(3 )
Form('''CONSCIOUS''), HasIPA(0), Usage(2 )
Form(''DISPOSE''), HasIPA(1), Usage(2 )
Form(''UNFOUNDED''), HasIPA(1), Usage(2 )
Form(''INDIVIDUALITIES''), HasIPA(0), Usage(2 )
Form('''ENERGETICALLY'''), HasIPA(0), Usage(3 )
Form('''MINE''), HasIPA(0), Usage(2 )
Form('''WAS'''), HasIPA(0), Usage(3 )
Form('''ME'''), HasIPA(0), Usage(3 )
Form('''MINE'''), HasIPA(0), Usage(2 )
Form(''APPROPRIATION''), HasIPA(1), Usage(2 )
Form(''APPROPRIATIVE''), HasIPA(0), Usage(3 )
Form('''MY'''), HasIPA(0), Usage(3 )
Form(''CLASSING''), HasIPA(1), Usage(4 )
Form('''SPAN'''), HasIPA(0), Usage(2 )
Form(''CONFORMABLY''), HasIPA(0), Usage(2 )
Form(''ONTOLOGICAL''), HasIPA(1), Usage(2 )
Form('''WE''), HasIPA(0), Usage(4 )
Form(''HOFFDING''), HasIPA(0), Usage(2 )
Form(''STRAIGHTEN''), HasIPA(1), Usage(4 )
Form(''IDEALISTS''), HasIPA(1), Usage(2 )
Form(''PHILOSOPHIE''), HasIPA(0), Usage(3 )
Form(''COMMINUTED''), HasIPA(0), Usage(2 )
Form(''ENTITATIVE''), HasIPA(0), Usage(2 )
Form(''LECT''), HasIPA(0), Usage(3 )
Form(''PRECIOUSNESS''), HasIPA(0), Usage(2 )
Form(''REALM''), HasIPA(1), Usage(4 )
Form(''INADEQUATELY''), HasIPA(1), Usage(2 )
Form(''INTERFERES''), HasIPA(1), Usage(3 )
Form(''DENTS''), HasIPA(1), Usage(3 )
Form(''IMPENETRABILITY''), HasIPA(0), Usage(3 )
Form(''RETICULATIONS''), HasIPA(0), Usage(2 )
Form(''OPERATES''), HasIPA(1), Usage(2 )
Form(''INERTNESS''), HasIPA(1), Usage(2 )
Form(''PARAGRAPHS''), HasIPA(1), Usage(3 )
Form(''STEADFAST''), HasIPA(1), Usage(2 )
Form(''ORGANISM''), HasIPA(1), Usage(2 )
Form(''XXV''), HasIPA(0), Usage(4 )
Form(''GEM''), HasIPA(1), Usage(4 )
Form('''FEELINGS'''), HasIPA(0), Usage(2 )
Form('''AGREEABLE''), HasIPA(0), Usage(2 )
Form(''OCCASIONED''), HasIPA(1), Usage(3 )
Form(''EVOLUTION''), HasIPA(1), Usage(4 )
Form(''ASCRIBED''), HasIPA(1), Usage(3 )
Form(''RIGOROUSLY''), HasIPA(1), Usage(2 )
Form(''UNHESITATINGLY''), HasIPA(1), Usage(3 )
Form(''EFFICACIOUS''), HasIPA(1), Usage(3 )
Form(''DEEMED''), HasIPA(1), Usage(3 )
Form(''EFFICACY''), HasIPA(1), Usage(4 )
Form(''PHYSICS''), HasIPA(1), Usage(3 )
Form(''PROJECTIONS''), HasIPA(1), Usage(2 )
Form(''COINCIDE''), HasIPA(1), Usage(2 )
Form(''SPIRITUALITY''), HasIPA(1), Usage(2 )
Form(''K''), HasIPA(1), Usage(3 )
Form(''AFFECTIVE''), HasIPA(1), Usage(2 )
Form(''COMPOSITIONS''), HasIPA(1), Usage(2 )
Form(''TENSIONS''), HasIPA(1), Usage(2 )
Form(''EMPHATIC''), HasIPA(1), Usage(2 )
Form(''ALTERATIONS''), HasIPA(1), Usage(2 )
Form(''VISCERAL''), HasIPA(1), Usage(2 )
Form(''RULED''), HasIPA(1), Usage(2 )
Form(''FITNESS''), HasIPA(1), Usage(2 )
Form(''SORTED''), HasIPA(1), Usage(3 )
Form(''SICH''), HasIPA(0), Usage(3 )
Form(''ZEPHYR''), HasIPA(0), Usage(3 )
Form(''SUNS''), HasIPA(1), Usage(3 )
Form(''INTROSPECTION''), HasIPA(1), Usage(2 )
Form(''CORROBORATIONS''), HasIPA(0), Usage(3 )
Form(''DEFINITIVE''), HasIPA(1), Usage(2 )
Form(''PHILADELPHIA''), HasIPA(1), Usage(3 )
Form(''DEWEYISM''), HasIPA(0), Usage(2 )
Form(''ILLUSTRATE''), HasIPA(1), Usage(2 )
Form(''ORACLE''), HasIPA(1), Usage(3 )
Form(''WARD'S''), HasIPA(1), Usage(3 )
Form(''STOUD''), HasIPA(0), Usage(2 )
Form(''DISPUTANTS''), HasIPA(0), Usage(2 )
Form(''SIMPLIFY''), HasIPA(1), Usage(3 )
Form('''ACTIVITY'''), HasIPA(0), Usage(2 )
Form(''JUDGEMENTS''), HasIPA(1), Usage(2 )
Form(''BROADEST''), HasIPA(1), Usage(3 )
Form('''NOTHING''), HasIPA(0), Usage(3 )
Form(''UNQUESTIONABLY''), HasIPA(1), Usage(4 )
Form(''PRIMUS''), HasIPA(1), Usage(3 )
Form(''SECUNDUS''), HasIPA(0), Usage(3 )
Form(''RESISTANCES''), HasIPA(0), Usage(2 )
Form(''XXVI''), HasIPA(0), Usage(3 )
Form(''ANALYTIC''), HasIPA(1), Usage(4 )
Form(''ENUMERATION''), HasIPA(1), Usage(2 )
Form(''DOGMA''), HasIPA(1), Usage(2 )
Form(''SINNER''), HasIPA(1), Usage(3 )
Form('''WE'''), HasIPA(0), Usage(3 )
Form(''EXPERIENCER''), HasIPA(0), Usage(3 )
Form(''OBSTRUCTION''), HasIPA(1), Usage(4 )
Form(''GELTEN''), HasIPA(0), Usage(2 )
Form(''SUSTAINING''), HasIPA(1), Usage(4 )
Form(''DENYING''), HasIPA(1), Usage(3 )
Form(''AFFECTS''), HasIPA(1), Usage(2 )
Form(''QUA''), HasIPA(1), Usage(3 )
Form(''TATIGKEIT''), HasIPA(0), Usage(2 )
Form(''QUOTATIONS''), HasIPA(1), Usage(3 )
Form(''APROPOS''), HasIPA(1), Usage(2 )
Form(''MISUNDERSTANDINGS''), HasIPA(1), Usage(2 )
Form(''IDENTIFYING''), HasIPA(1), Usage(2 )
Form('''OURS''), HasIPA(0), Usage(2 )
Form('''OUR'''), HasIPA(0), Usage(2 )
Form(''THEREOF''), HasIPA(1), Usage(2 )
Form(''INSEPARABLE''), HasIPA(1), Usage(2 )
Form(''INDIVIDUALIZED''), HasIPA(1), Usage(2 )
Form('''THIS'''), HasIPA(0), Usage(3 )
Form(''SYSTEMATIZATION''), HasIPA(0), Usage(2 )
Form('''HERE''), HasIPA(0), Usage(3 )
Form(''INCONSISTENCY''), HasIPA(1), Usage(4 )
Form(''POPPED''), HasIPA(1), Usage(2 )
Form(''CREATING''), HasIPA(1), Usage(3 )
Form(''LIVER''), HasIPA(1), Usage(4 )
Form(''CONTIGUOUS''), HasIPA(1), Usage(2 )
Form(''ALTERATION''), HasIPA(1), Usage(3 )
Form(''CESSANTE''), HasIPA(0), Usage(2 )
Form(''ACTIVITEIS''), HasIPA(0), Usage(2 )
Form(''SECT''), HasIPA(1), Usage(2 )
Form(''BULB''), HasIPA(1), Usage(2 )
Form(''VITALLY''), HasIPA(1), Usage(2 )
Form(''PREVALENCE''), HasIPA(1), Usage(2 )
Form(''DISCHARGES''), HasIPA(1), Usage(2 )
Form(''CONGRUOUS''), HasIPA(0), Usage(2 )
Form(''OBSTRUCTIONS''), HasIPA(1), Usage(2 )
Form(''PICTURABLE''), HasIPA(0), Usage(3 )
Form(''PREDICT''), HasIPA(1), Usage(2 )
Form(''ARTERY''), HasIPA(1), Usage(3 )
Form(''FORESEEING''), HasIPA(1), Usage(2 )
Form(''PROPOUNDED''), HasIPA(1), Usage(3 )
Form(''FLAGRANTE''), HasIPA(0), Usage(2 )
Form(''CAUSATION''), HasIPA(1), Usage(3 )
Form(''EFFECTUATION''), HasIPA(0), Usage(3 )
Form(''CUBIC''), HasIPA(1), Usage(2 )
Form(''PHILOSOPHIQUES''), HasIPA(0), Usage(2 )
Form(''ACKNOWLEDGEMENT''), HasIPA(1), Usage(2 )
Form('''FREE''), HasIPA(0), Usage(2 )
Form(''SUPERNATURAL''), HasIPA(1), Usage(2 )
Form(''GRUBBING''), HasIPA(0), Usage(4 )
Form(''SOLVE''), HasIPA(1), Usage(4 )
Form(''COLLEAGUE''), HasIPA(1), Usage(2 )
Form(''SUGGESTING''), HasIPA(1), Usage(2 )
Form(''SUSPECTING''), HasIPA(1), Usage(3 )
Form('''COME''), HasIPA(0), Usage(2 )
Form(''THEOREM''), HasIPA(1), Usage(2 )
Form(''PRAGMATISTIC''), HasIPA(0), Usage(2 )
Form(''ADVOCATES''), HasIPA(1), Usage(2 )
Form(''DEWEY''), HasIPA(1), Usage(2 )
Form(''FRAGMENTARY''), HasIPA(1), Usage(2 )
Form(''SCENTING''), HasIPA(0), Usage(2 )
Form(''SHOWERED''), HasIPA(1), Usage(3 )
Form(''HUMANIST''), HasIPA(1), Usage(3 )
Form('''TRUTH'''), HasIPA(0), Usage(3 )
Form(''URGENTLY''), HasIPA(1), Usage(4 )
Form(''SHARPER''), HasIPA(1), Usage(3 )
Form(''SHARPNESS''), HasIPA(1), Usage(2 )
Form(''LEANS''), HasIPA(1), Usage(3 )
Form(''UNAMBIGUOUS''), HasIPA(1), Usage(2 )
Form(''INTERPRETERS''), HasIPA(1), Usage(2 )
Form(''MATCHLESS''), HasIPA(0), Usage(2 )
Form('''PROBLEM''), HasIPA(0), Usage(2 )
Form(''FAULTLESSLY''), HasIPA(0), Usage(2 )
Form(''FIERCELY''), HasIPA(1), Usage(4 )
Form(''SINGLENESS''), HasIPA(0), Usage(3 )
Form(''VISCERA''), HasIPA(0), Usage(3 )
Form(''FABRIC''), HasIPA(1), Usage(3 )
Form(''INTRA''), HasIPA(1), Usage(2 )
Form(''AJAIB''), HasIPA(0), Usage(3 )
Form(''DRAGON''), HasIPA(1), Usage(2 )
Form(''LALA''), HasIPA(1), Usage(2 )
Form(''COLONELS''), HasIPA(1), Usage(2 )
Form(''FEROZEPORE''), HasIPA(0), Usage(2 )
Form(''VARIETUR''), HasIPA(0), Usage(2 )
Form(''CLEARANCE''), HasIPA(1), Usage(2 )
Form(''JADOO''), HasIPA(0), Usage(4 )
Form(''SEWED''), HasIPA(1), Usage(2 )
Form(''PARCHMENT''), HasIPA(1), Usage(4 )
Form(''PROPHECIES''), HasIPA(1), Usage(2 )
Form(''PROVINCIAL''), HasIPA(1), Usage(4 )
Form(''GLOVE''), HasIPA(1), Usage(3 )
Form(''PROWL''), HasIPA(1), Usage(2 )
Form(''HOUSETOP''), HasIPA(0), Usage(2 )
Form(''SHRINES''), HasIPA(1), Usage(4 )
Form(''RIVERSIDE''), HasIPA(1), Usage(2 )
Form(''GARB''), HasIPA(1), Usage(2 )
Form(''NILA''), HasIPA(1), Usage(2 )
Form(''RAM'S''), HasIPA(0), Usage(2 )
Form(''DEODAR''), HasIPA(0), Usage(3 )
Form(''SEASONING''), HasIPA(1), Usage(2 )
Form(''SWEETMEAT''), HasIPA(0), Usage(3 )
Form(''SLUICING''), HasIPA(1), Usage(2 )
Form(''PASTRY''), HasIPA(1), Usage(2 )
Form(''MUSSALMANS''), HasIPA(0), Usage(2 )
Form(''MOTEE''), HasIPA(0), Usage(2 )
Form(''TAM''), HasIPA(1), Usage(3 )
Form(''SHANTER''), HasIPA(0), Usage(3 )
Form(''FOOK''), HasIPA(0), Usage(2 )
Form(''SHING''), HasIPA(1), Usage(2 )
Form(''ONYX''), HasIPA(1), Usage(3 )
Form(''SPYING''), HasIPA(1), Usage(3 )
Form(''STINKING''), HasIPA(1), Usage(2 )
Form(''MIAN''), HasIPA(0), Usage(2 )
Form(''FINGERING''), HasIPA(1), Usage(2 )
Form(''KHITAI''), HasIPA(0), Usage(2 )
Form(''SPITTING''), HasIPA(1), Usage(4 )
Form(''PAHARI''), HasIPA(0), Usage(2 )
Form(''GURU''), HasIPA(1), Usage(4 )
Form(''BUTS''), HasIPA(1), Usage(2 )
Form(''IDOLATRY''), HasIPA(1), Usage(2 )
Form(''PARAST''), HasIPA(0), Usage(2 )
Form(''LAPS''), HasIPA(1), Usage(2 )
Form(''REGISTERING''), HasIPA(1), Usage(2 )
Form(''UNSKILFULLY''), HasIPA(0), Usage(2 )
Form(''FRIEZES''), HasIPA(0), Usage(2 )
Form(''SLABS''), HasIPA(1), Usage(2 )
Form(''LABELLED''), HasIPA(1), Usage(4 )
Form(''MOUTHED''), HasIPA(1), Usage(4 )
Form(''LOTUS''), HasIPA(1), Usage(4 )
Form(''ADORING''), HasIPA(1), Usage(2 )
Form(''JEWELLED''), HasIPA(0), Usage(4 )
Form(''MAYA''), HasIPA(1), Usage(2 )
Form(''LUNG''), HasIPA(1), Usage(4 )
Form(''TREMULOUSLY''), HasIPA(1), Usage(3 )
Form(''MONTHS'''), HasIPA(1), Usage(4 )
Form(''CRAG''), HasIPA(0), Usage(2 )
Form(''CARVEN''), HasIPA(0), Usage(2 )
Form(''CRAFTSMAN''), HasIPA(1), Usage(4 )
Form(''TROVE''), HasIPA(1), Usage(3 )
Form(''REPRODUCTIONS''), HasIPA(1), Usage(4 )
Form(''DEVADATTA''), HasIPA(0), Usage(2 )
Form(''IMPURITY''), HasIPA(1), Usage(4 )
Form(''KUSINAGARA''), HasIPA(0), Usage(2 )
Form(''FAINTED''), HasIPA(1), Usage(2 )
Form(''BODHI''), HasIPA(0), Usage(2 )
Form(''BEAD''), HasIPA(1), Usage(4 )
Form(''MENDICANT''), HasIPA(0), Usage(2 )
Form(''BUDDHISM''), HasIPA(1), Usage(3 )
Form(''CURATOR'S''), HasIPA(1), Usage(3 )
Form(''KAPILAVASTU''), HasIPA(0), Usage(2 )
Form(''SPATE''), HasIPA(1), Usage(2 )
Form(''FAITHS''), HasIPA(1), Usage(3 )
Form(''SEAMED''), HasIPA(0), Usage(2 )
Form(''PILGRIM''), HasIPA(1), Usage(2 )
Form(''TRIPLE''), HasIPA(1), Usage(3 )
Form(''BENEFICENCE''), HasIPA(1), Usage(4 )
Form(''WHOSO''), HasIPA(0), Usage(2 )
Form(''BATHES''), HasIPA(1), Usage(2 )
Form(''WASHES''), HasIPA(1), Usage(4 )
Form(''HEATS''), HasIPA(1), Usage(2 )
Form(''KASHI''), HasIPA(0), Usage(2 )
Form(''PATHANKOT''), HasIPA(0), Usage(3 )
Form(''FORSAKING''), HasIPA(1), Usage(2 )
Form(''VALIANTLY''), HasIPA(1), Usage(3 )
Form(''CRAFTSMEN''), HasIPA(1), Usage(2 )
Form(''PENCILS''), HasIPA(1), Usage(2 )
Form(''TURNSTILES''), HasIPA(1), Usage(4 )
Form(''INVESTIGATED''), HasIPA(1), Usage(3 )
Form(''RETORT''), HasIPA(1), Usage(3 )
Form(''DUNNOO''), HasIPA(0), Usage(2 )
Form(''LEGIONS''), HasIPA(1), Usage(2 )
Form(''STARVE''), HasIPA(1), Usage(3 )
Form(''SIGHING''), HasIPA(1), Usage(2 )
Form(''SHOULDERING''), HasIPA(1), Usage(4 )
Form(''PRIVILEGES''), HasIPA(1), Usage(4 )
Form(''SNORTED''), HasIPA(1), Usage(3 )
Form(''TRAM''), HasIPA(1), Usage(4 )
Form(''HUMP''), HasIPA(1), Usage(2 )
Form(''ATOP''), HasIPA(1), Usage(4 )
Form(''CONSERVE''), HasIPA(1), Usage(2 )
Form(''CLARIFIED''), HasIPA(1), Usage(4 )
Form(''DABBED''), HasIPA(0), Usage(2 )
Form(''PARIAH''), HasIPA(1), Usage(2 )
Form(''OHE''), HasIPA(0), Usage(4 )
Form(''BHISTIE''), HasIPA(0), Usage(2 )
Form(''CEREMONIALLY''), HasIPA(0), Usage(4 )
Form(''BEGGAR'S''), HasIPA(0), Usage(3 )
Form(''PORTENTOUS''), HasIPA(1), Usage(2 )
Form(''SUBORDINATES''), HasIPA(1), Usage(3 )
Form(''HADST''), HasIPA(0), Usage(4 )
Form(''CLOISTERS''), HasIPA(1), Usage(3 )
Form(''CARAVANS''), HasIPA(1), Usage(4 )
Form(''MASONRY''), HasIPA(1), Usage(3 )
Form(''TRADERS''), HasIPA(1), Usage(3 )
Form(''PILLAR''), HasIPA(1), Usage(3 )
Form(''CUMBROUS''), HasIPA(0), Usage(2 )
Form(''KABULI''), HasIPA(0), Usage(3 )
Form(''LOUSE''), HasIPA(1), Usage(2 )
Form(''SIDLED''), HasIPA(0), Usage(2 )
Form(''DEALINGS''), HasIPA(1), Usage(4 )
